Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01531-020, December 1992 [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01531-021, December 1992 [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01531-022, December 1992/January 1993 [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01531-023, December 1992/January 1993 [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01531-024, December 1992/January 1993 [3].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01531-025, December 1992/January 1993 [4].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01532-001, January 1992 [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01532-002, January 1992 [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01532-003, January 1992 [3].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01532-004, January 1992 [4].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01532-005, February 1992 [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01532-006, February 1992 [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01532-007, February 1992 [3].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01532-008, February 1992 [4].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01532-009, March 1992 [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01532-010, March 1992 [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01532-011, March 1992 [3].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01532-012, March 1992 [4].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01532-013, March 1992 [5].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01532-014, April 1992 [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01532-015, April 1992 [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01532-016, April 1992 [3].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01532-017, April 1992 [4].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01532-018, April 1992 [5].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01532-019, May 1992 [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01532-020, May 1992 [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01532-021, May 1992 [3].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01532-022, June 1992 [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01532-023, June 1992 [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01532-024, June 1992 [3].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01532-025, June 1992 [4].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01532-026, June 1992 [5].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01532-027, June 1992 [6].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01534-001, January 1991 [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01534-002, January 1991 [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01534-003, January 1991 [3].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01534-004, February 1991 [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01534-005, February 1991 [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01534-006, February 1991 [3].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01534-007, February 1991 [4].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01534-008, March 1991 [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01534-009, March 1991 [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01534-010, March 1991 [3].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01534-011, March 1991 [4].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01534-012, April 1991 [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01534-013, April 1991 [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01534-014, April 1991 [3].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01534-015, April 1991 [4].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01534-016, April 1991 [5].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01534-017, May 1991 [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01534-018, May 1991 [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01534-019, May 1991 [3].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01534-020, May 1991 [4].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01534-021, June 1991 [1].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01534-022, June 1991 [2].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01534-023, June 1991 [3].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01534-024, June 1991 [4].
Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, Richard Barth Files, Chronological Files, OA/ID CF01534-025, June 1991 [5].
